"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"BTCUSD";"Comprar";"2023.11.01 08:15:00";"34421.40";"0.10000";"2023.11.01 08:45:00";"34421.40";"0.00";"16000.00";"IST";"MoveSL2BE";"0.00";"2.10";"30m 0s";""
"2";"BTCUSD";"Comprar";"2023.11.01 09:00:00";"34421.70";"0.10000";"2023.11.01 09:45:00";"34421.70";"0.00";"16000.00";"IST";"MoveSL2BE";"-2.50";"4.09";"45m 0s";""
"8";"BTCUSD";"Comprar";"2023.11.01 11:45:00";"34404.50";"0.10000";"2023.11.01 13:45:00";"34404.50";"0.00";"16000.00";"IST";"MoveSL2BE";"-9.30";"74.79";"2h 0m";""
"10";"BTCUSD";"Comprar";"2023.11.02 08:15:00";"35235.70";"0.10000";"2023.11.02 09:00:00";"35235.70";"0.00";"16000.00";"IST";"MoveSL2BE";"-5.59";"5.70";"45m 0s";""
"4";"BTCUSD";"Vender";"2023.11.02 09:00:00";"35237.44";"0.10000";"2023.11.02 15:00:00";"34908.04";"32.94";"16032.94";"IST";"Exit After X Bars";"-21.26";"58.36";"6h 0m";""
"12";"BTCUSD";"Comprar";"2023.11.02 11:15:00";"35355.30";"0.10000";"2023.11.02 11:45:00";"35355.30";"0.00";"16000.00";"IST";"MoveSL2BE";"-4.67";"4.74";"30m 0s";""
"13";"BTCUSD";"Vender";"2023.11.02 12:45:00";"35346.60";"0.10000";"2023.11.02 16:30:00";"34321.55";"102.51";"16135.45";"IST";"PT";"0.00";"102.51";"3h 45m";""
"14";"BTCUSD";"Vender";"2023.11.02 17:00:00";"34579.80";"0.10000";"2023.11.02 17:30:00";"34579.80";"0.00";"16135.45";"IST";"MoveSL2BE";"-4.53";"5.72";"30m 0s";""
"16";"BTCUSD";"Vender";"2023.11.03 08:30:00";"34433.00";"0.10000";"2023.11.03 13:45:00";"34433.00";"0.00";"16135.45";"IST";"MoveSL2BE";"0.00";"34.04";"5h 15m";""
"20";"BTCUSD";"Comprar";"2023.11.04 08:15:00";"34765.00";"0.10000";"2023.11.04 09:15:00";"34765.00";"0.00";"16135.45";"IST";"MoveSL2BE";"-0.97";"7.76";"1h 0m";""
