"Strategy Name";"WF Fitness";"WF Symbol";"WF TimeFrame";"WF Net profit";"WF Mini equity chart";"WF # of trades";"WF Profit factor";"WF Sharpe Ratio";"WF R Expectancy";"WF Annual % Return";"WF Stability";"WF Symmetry";"WF Drawdown";"WF Win/Loss ratio";"WF Ret/DD Ratio";"WF CAGR/Max DD %";"WF Avg. Win";"WF Avg. Loss";"WF Avg. Bars Win";"WF Avg. Bars Loss";"WF Avg. Bars in Trade";"WF Exposure";"WF Fitness";"WF Net profit";"WF Mini equity chart";"WF # of trades";"WF Profit factor";"WF Sharpe Ratio";"WF R Expectancy";"WF Annual % Return";"WF Stability";"WF Symmetry";"WF Drawdown";"WF Win/Loss ratio";"WF Ret/DD Ratio";"WF CAGR/Max DD %";"WF Avg. Win";"WF Avg. Loss";"WF Avg. Bars Win";"WF Avg. Bars Loss";"WF Avg. Bars in Trade";"WF Exposure"
"Strategy 0.223";"0.94";"AAPL";"M1";"416.54";"";"108077";"1.15";"2.02";"0.06";"0.32";"0.55";"44.49";"21.13";"1.11";"19.71";"1.55";"0.07";"0.07";"12.0";"11.97";"11.99";"18.84";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.58";"0.92";"AAPL";"M1";"304.07";"";"43770";"1.1";"1.4";"0.05";"0.23";"0.45";"70.16";"20.23";"1.02";"15.03";"1.15";"0.16";"0.15";"40.13";"38.37";"39.74";"24.6";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.21";"0.97";"AAPL";"M1";"298.71";"";"93355";"1.24";"2.81";"0.08";"0.23";"0.61";"62.64";"7.48";"1.2";"39.93";"3.29";"0.04";"0.04";"3.98";"3.97";"3.98";"11.19";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.102";"0.91";"AAPL";"M1";"290.71";"";"48648";"1.12";"1.16";"0.05";"0.22";"0.55";"0.0";"21.85";"1.11";"13.3";"1.05";"0.12";"0.12";"31.9";"31.82";"31.86";"18.17";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.74";"0.86";"AAPL";"M1";"279.81";"";"27978";"1.15";"1.12";"0.08";"0.22";"0.6";"52.15";"34.07";"0.71";"8.21";"0.64";"0.19";"0.12";"79.43";"58.17";"66.23";"44.47";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.11";"0.94";"AAPL";"M1";"235.51";"";"121711";"1.16";"1.83";"0.05";"0.18";"0.55";"75.06";"11.77";"1.16";"20.01";"1.5";"0.04";"0.04";"2.0";"1.99";"2.0";"5.51";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.311";"0.88";"AAPL";"M1";"194.2";"";"57116";"1.1";"0.85";"0.04";"0.15";"0.49";"9.05";"20.61";"1.08";"9.42";"0.75";"0.09";"0.09";"27.91";"27.83";"27.64";"24.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.276";"0.74";"AAPL";"M1";"137.55";"";"1120";"1.19";"0.39";"0.12";"0.11";"0.61";"0.0";"39.9";"0.59";"3.45";"0.28";"2.1";"1.05";"2502.0";"904.68";"1499.4";"86.37";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.251";"0.81";"AAPL";"M1";"134.14";"";"2081";"1.28";"0.42";"0.21";"0.1";"0.51";"0.0";"24.98";"0.31";"5.37";"0.4";"1.24";"0.3";"1300.67";"445.72";"649.09";"52.66";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.177";"0.91";"AAPL";"M1";"132.28";"";"24191";"1.27";"0.87";"0.09";"0.1";"0.55";"52.64";"10.2";"1.13";"12.97";"1.0";"0.07";"0.06";"20.0";"19.96";"18.49";"11.67";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
